problem_id,problem_level,problem_is_solvable,problem_average_tries,problem_tag
1000,1,TRUE,2.3817,"['implementation', 'arithmetic', 'math']"
1001,1,TRUE,1.4003,"['implementation', 'arithmetic', 'math']"
1003,8,TRUE,3.1726,['dp']
1008,1,TRUE,2.8774,"['implementation', 'arithmetic', 'math']"
1009,4,TRUE,4.0896,"['implementation', 'math']"
1010,6,TRUE,2.0673,"['combinatorics', 'dp', 'math']"
1012,9,TRUE,2.7078,"['graphs', 'graph_traversal', 'bfs', 'dfs']"
1013,11,TRUE,2.8084,"['regex', 'string']"
1032,5,TRUE,1.8512,"['implementation', 'string']"
1076,4,TRUE,2.3143,['implementation']
1100,4,TRUE,1.421,"['implementation', 'string']"
1110,5,TRUE,2.1469,"['implementation', 'math']"
1111,13,TRUE,5.4553,"['bruteforcing', 'case_work', 'implementation', 'math']"
1149,10,TRUE,1.9558,['dp']
1152,4,TRUE,3.1876,"['implementation', 'string']"
1157,5,TRUE,2.5497,"['implementation', 'string']"
1167,14,TRUE,2.9394,"['dfs', 'graphs', 'graph_traversal', 'trees']"
1181,6,TRUE,2.4782,"['sorting', 'string']"
1193,5,TRUE,1.9616,"['implementation', 'math']"
1205,6,TRUE,4.4504,['implementation']
1229,11,TRUE,2.3789,"['dp', 'math', 'precomputation']"
1244,8,TRUE,5.0663,"['implementation', 'simulation']"
1254,9,TRUE,2.3202,"['bruteforcing', 'string']"
1259,5,TRUE,1.7028,"['implementation', 'string']"
1260,9,TRUE,2.8355,"['graphs', 'graph_traversal', 'bfs', 'dfs']"
1300,14,TRUE,2.6732,"['binary_search', 'parametric_search']"
1309,10,TRUE,2.0833,['dp']
1316,6,TRUE,1.9202,"['implementation', 'string']"
1325,10,TRUE,5.0673,"['bfs', 'dfs', 'graphs', 'graph_traversal']"
1330,1,TRUE,2.0183,['implementation']
1356,5,TRUE,2.2504,"['arithmetic', 'implementation', 'math', 'string']"
1388,8,TRUE,1.6091,"['bfs', 'dfs', 'graphs', 'graph_traversal']"
1389,10,TRUE,1.7896,"['bfs', 'floyd_warshall', 'graphs', 'graph_traversal']"
1405,11,TRUE,2.7343,"['backtracking', 'bruteforcing', 'dfs', 'graphs', 'graph_traversal', 'math']"
1427,6,TRUE,1.5709,"['sorting', 'string']"
1446,10,TRUE,2.1176,"['dijkstra', 'dp', 'graphs']"
